date,open,high,low,close,volume
2020-01-02,71.4097927692221,72.46079141879511,71.15668916006118,72.40052795410156,135480400
2020-01-03,71.6291376132339,72.45595040957373,71.47245410922795,71.6966323852539,146322800
2020-01-06,70.81918573286022,72.30648330246464,70.56848776436438,72.26791381835938,118387200
2020-01-07,72.2775784441153,72.53309491165653,71.70869494472285,71.92805480957031,108872000
2020-01-08,71.63156665826679,73.38643848288913,71.63156665826679,73.08512115478516,132079200
2020-01-09,74.06138991692809,74.83035236373952,73.81069918448344,74.63751220703125,170108400
2020-01-10,74.87132551313572,75.370308736383,74.30484750773756,74.80623626708984,140644800
2020-01-13,75.12201817653433,76.4309386915993,75.00389679896787,76.4044189453125,121532000
2020-01-14,76.34176775906714,76.55148346044966,75.24979396232517,75.37272644042969,161954400
2020-01-15,75.17263004032235,76.05247495120804,74.61820187883205,75.04969024658203,121923600
2020-01-16,75.59208495900991,76.10071246852102,75.23050414086309,75.98982238769531,108829200
2020-01-17,76.23809509330889,76.83349837052724,75.93195936574989,76.83109283447266,137816400
2020-01-21,76.45986173724447,76.90098699093934,76.1730071029982,76.31040954589844,110843200
2020-01-22,76.79492300181599,77.13480977194556,76.48878729766383,76.58280181884766,101832400
2020-01-23,76.63581926484824,77.03114362991317,76.08862248837322,76.95159912109375,104472000
2020-01-24,77.19747280109205,77.93991520434014,76.53939333547534,76.72982788085938,146537600
2020-01-27,74.7411685818915,75.1533686742089,73.49251119660474,74.47360229492188,161940000
2020-01-28,75.35341281852345,76.75152179476333,75.25457988632637,76.58037567138672,162234000
2020-01-29,78.20992276333985,79.02950436307852,77.46988569545148,78.18340301513672,216229200
2020-01-30,77.26738534868132,78.12312337660362,76.83589699674123,78.0700912475586,126743200
2020-01-31,77.36138873428479,77.78323285410741,74.31447274556798,74.60855865478516,199588400
2020-02-03,73.35266528651083,75.5679502030693,72.85127664058147,74.4036636352539,173788400
2020-02-04,76.0066606092873,77.0504275114738,75.60169205731341,76.85999298095703,136616400
2020-02-05,77.98573120045752,78.28464294726993,76.88412080562057,77.48675537109375,118826800
2020-02-06,77.75672634398214,78.39551744527337,77.19989265225486,78.39310455322266,105425600
2020-02-07,77.89294126547146,78.14181565091206,76.83703724788526,77.3275375366211,117684000
2020-02-10,75.91404207954616,77.69482421875,75.83430875751218,77.69482421875,109348800
2020-02-11,78.19013597325772,78.26262078747321,77.00858188468877,77.22604370117188,94323200
